course_id,module_number,module_title,lesson_number,lesson_title,lesson_token,is_video,is_homework
04ba6d0b40670c43a209141fa01fa784,1,"Введение в Motion Design. Тренды, разновидности, применение",1,Знакомство,aa344de3-1191-4e69-b485-61823118f71c,true,false
04ba6d0b40670c43a209141fa01fa784,1,"Введение в Motion Design. Тренды, разновидности, применение",2,"Введение в Motion Design. Тренды, разновидности, применение.",246c8429-dd18-4f3a-a9fb-d3c07e7d6912,true,false
04ba6d0b40670c43a209141fa01fa784,1,"Введение в Motion Design. Тренды, разновидности, применение",3,Домашняя работа,c4377574-d117-45c7-8da5-dd7d1923517d,false,true
04ba6d0b40670c43a209141fa01fa784,2,12 принципов анимации от Walt Disney Studio,1,Интро,7ea16a2d-e6d1-4158-907f-ae0ce8379c45,true,false
04ba6d0b40670c43a209141fa01fa784,2,12 принципов анимации от Walt Disney Studio,2,12 принципов анимации,7eea2930-11db-45c9-a16c-0d800b6dc99d,true,false
04ba6d0b40670c43a209141fa01fa784,2,12 принципов анимации от Walt Disney Studio,3,Домашняя работа,f6f37ada-7763-4a06-9e45-a42ca568e69a,false,true
04ba6d0b40670c43a209141fa01fa784,3,Motion design в интерфейсах,1,Motion design в интерфейсах,fed2c0d5-5874-4b7c-a31e-57dbffe4b1d1,true,false
04ba6d0b40670c43a209141fa01fa784,3,Motion design в интерфейсах,2,Анимация интерфейсов,d357c5d3-b528-4d7e-8b93-d298e49ecbba,true,false
04ba6d0b40670c43a209141fa01fa784,3,Motion design в интерфейсах,3,Круто,d2a542e5-a457-4318-909c-4333a90e4379,true,false
04ba6d0b40670c43a209141fa01fa784,3,Motion design в интерфейсах,4,Домашняя работа,4828bf79-2961-453e-a56e-4438c9135860,false,true
04ba6d0b40670c43a209141fa01fa784,4,After Effects,1,Интро,8f7cbde5-c123-421c-b028-745037a27001,true,false
04ba6d0b40670c43a209141fa01fa784,4,After Effects,2,Возможности After Effects,fc60b416-2476-4c3e-8394-ab3b79a8787f,true,false
04ba6d0b40670c43a209141fa01fa784,4,After Effects,3,Ключи,0a564833-9e44-4fc1-881e-6280cf4fc4aa,true,false
04ba6d0b40670c43a209141fa01fa784,4,After Effects,4,Домашняя работа,24426f0a-e85e-4ff4-9517-4938a70a0e96,false,true
04ba6d0b40670c43a209141fa01fa784,5,Иконки — погружение в мир микроанимации,1,Icons,04b5ffa5-8448-44c1-aa73-505713b0e0c2,true,false
